title,release_date
A Trip to the Moon,1902-04-17
The Great Train Robbery,1903-12-07
The Arrival of a Train at La Ciotat,1897-10-10
Workers Leaving the LumiÃ¨re Factory,1895-03-22
The Sprinkler Sprinkled,1895-06-10
Frankenstein,1910-03-18
Roundhay Garden Scene,1888-10-14
The Astronomer's Dream,1898-01-01
The Impossible Voyage,1904-10-01
The Haunted Castle,1896-12-24
The Four Troublesome Heads,1898-01-01
The Man with the Rubber Head,1901-01-01
Dante's Inferno,1911-03-11
The Kiss,1896-04-01
Traffic Crossing Leeds Bridge,1888-10-15
Demolition of a Wall,1896-03-06
The Vanishing Lady,1896-01-01
Alice in Wonderland,1903-10-17
The One-Man Band,1900-01-01
"The Execution of Mary, Queen of Scots",1895-08-28
Annabelle Serpentine Dance,1895-04-01
Cinderella,1899-10-01
The Cameraman's Revenge,1912-10-27
The Musketeers of Pig Alley,1912-10-31
Blacksmith Scene,1893-05-08
A Corner in Wheat,1909-12-13
The Cabbage-Patch Fairy,1896-03-31
The Kiss in the Tunnel,1899-11-30
The Melomaniac,1903-08-15
The Sea,1895-12-28
The Infernal Cauldron,1903-10-17
Man Walking Around a Corner,1887-08-18
Boat Leaving the Port,1895-01-01
A Terrible Night,1896-01-01
Falling Leaves,1912-03-15
The Blacksmiths,1895-12-28
Accordion Player,1888-01-01
The Kingdom of the Fairies,1903-09-01
Little Nemo,1911-04-08
The Enchanted Drawing,1900-11-16
Newark Athlete,1891-05-01
Grandma's Reading Glass,1900-11-01
Carmencita,1894-03-14
Serpentine Dance,1897-12-31
Snowball Fight,1897-02-07
Fishing for Goldfish,1895-12-28
Dream of a Rarebit Fiend,1906-02-24
The Dancing Pig,1907-08-10
The Diabolic Tenant,1909-01-01
The Devil in a Convent,1899-01-01
Dickson Greeting,1891-05-20
Jumping the Blanket,1895-12-28
The Sick Kitten,1903-12-31
The Lonely Villa,1909-06-10
The House of Ghosts,1907-12-21
The Bewitched Inn,1897-01-01
The Haunted Castle,1897-01-01
Joan of Arc,1900-08-06
Bluebeard,1901-01-01
How a Mosquito Operates,1912-01-01
The Electric Hotel,1908-10-31
Playing Cards,1896-01-01
The X-Ray Fiend,1897-10-01
The Merry Frolics of Satan,1906-01-01
"What Happened on Twenty-Third Street, New York City",1901-07-31
The Mermaid,1904-01-01
Santa Claus,1898-09-01
Explosion of a Motor Car,1900-07-01
The Merry Skeleton,1898-03-20
Humorous Phases of Funny Faces,1906-04-05
Annie Oakley,1894-11-01
The '?' Motorist,1906-10-01
The Consequences of Feminism,1906-01-01
Those Awful Hats,1909-01-25
Let Me Dream Again,1900-08-01
The Pillar of Fire,1899-01-01
The Gay Shoe Clerk,1903-08-12
Annabelle Butterfly Dance,1894-01-01
The Lonedale Operator,1911-03-23
The Magician,1898-01-01
Demolishing and Building Up the Star Theatre,1901-04-29
The Living Playing Cards,1905-01-01
Going to Bed Under Difficulties,1900-01-01
The Wonderful Wizard of Oz,1910-03-24
Panorama du grand Canal pris d'un bateau,1896-10-25
"Lion, London Zoological Gardens",1896-08-10
The Girl and Her Trust,1912-03-28
The Red Spectre,1907-01-01
The Fat and Lean Wrestling Match,1900-01-01
Souvenir Strip of the Edison Kinetoscope,1894-05-18
Caicedo (with Pole),1894-07-25
The Eclipse: Courtship of the Sun and Moon,1907-01-01
The Conquest of the Pole,1912-05-03
The Abyss,1910-09-12
Uncle Josh at the Moving Picture Show,1902-02-01
Post No Bills,1896-01-01
The Mechanical Butcher,1896-04-18
Men Boxing,1891-04-30
"Princess Nicotine; or, The Smoke Fairy",1909-08-10
The Little Girl and Her Cat,1899-05-20
Buffalo Dance,1894-09-23
ArrivÃ©e d'un train Ã  Perrache,1896-03-23
Rescued by Rover,1905-07-03
The Magic Lantern,1903-01-01
Transformation by Hats,1895-01-01
Gulliver's Travels Among the Lilliputians and the Giants,1902-01-01
The Untamable Whiskers,1904-03-05
The Countryman and the Cinematograph,1901-01-01
The Dreyfus Affair,1899-11-04
Adventures of William Tell,1898-01-01
"Lyon, place Bellecour",1895-01-01
History of a Crime,1901-04-30
Le village de Namo - Panorama pris d'une chaise Ã  porteurs,1900-01-25
Rescued from an Eagle's Nest,1908-01-16
Mr. Edison at Work in His Chemical Laboratory,1897-05-31
As Seen Through a Telescope,1900-09-01
The Prince of Magicians,1901-01-01
The Devil and the Statue,1901-01-01
The Witch,1906-12-20
Fire!,1901-10-15
Rough Sea at Dover,1896-01-14
The Barbershop,1894-01-01
New York Subway,1905-06-05
How It Feels to Be Run Over,1900-06-30
The Hilarious Posters,1906-01-01
The Land Beyond the Sunset,1912-10-28
DÃ©jeuner du Chat,1895-01-01
Panorama de l'arrivÃ©e en gare de Perrache pris du train,1896-03-23
Le marÃ©chal-ferrant,1895-01-01
The Surrender of Tournavos,1897-01-01
Dr. Jekyll and Mr. Hyde,1912-01-16
Panorama from Top of a Moving Train,1898-01-01
A Hand Shake,1892-01-01
The New York Hat,1912-12-05
Fire Rescue Scene,1894-12-01
Bocal aux poissons rouges,1897-03-21
Boules Game,1896-05-31
The Haunted Hotel,1907-02-23
Up-to-Date Spiritualism,1900-01-01
A Fantastical Meal,1900-01-01
The Story of the Kelly Gang,1906-12-26
Bonne d'enfants et soldat,1897-03-08
The Treasures of Satan,1902-01-01
DÃ©filÃ© de voitures de bÃ©bÃ©s Ã  la pouponniÃ¨re de Paris,1899-11-27
Sioux Ghost Dance,1894-09-23
Childish Quarrel,1896-03-07
The Mysterious Knight,1899-01-01
Kiri-Kis,1907-12-27
A Christmas Carol,1910-12-23
An Unseen Enemy,1912-09-09
The Unchanging Sea,1910-05-05
On the Roofs,1897-05-18
The Christmas Dream,1900-08-08
An Extraordinary Dislocation,1901-01-01
Horse and Rider Jumping Over an Obstacle,1888-05-31
The Rajah's Dream or The Bewitched Wood,1900-01-01
Addition and Subtraction,1900-01-01
The Famous Box Trick,1898-01-01
The 'Teddy' Bears,1907-03-02
Stop Thief!,1901-01-01
Ateliers de La Ciotat,1896-01-16
Chicago Police Parade,1896-09-20
The Life and Passion of Jesus Christ,1903-05-15
Photograph,1895-01-01
The Spider and the Butterfly,1909-01-01
Dream and Reality,1901-01-01
The Doctor and the Monkey,1900-01-01
That Fatal Sneeze,1907-06-01
The Waiter's Dream,1910-05-21
A Spiritualist Photographer,1903-08-14
"20,000 Leagues Under the Sea",1907-01-01
Bucking Broncho,1894-10-16
RÃ©crÃ©ation Ã  la MartiniÃ¨re,1896-05-10
The Dwarf and the Giant,1901-01-01
Naval Combat in Greece,1897-01-01
The Inventor Crazybrains and His Wonderful Airship,1905-01-01
"Paris, Champs-ElysÃ©es (voitures)",1896-04-25
Radeau avec baigneurs,1896-09-06
Circular Panorama of Electric Tower,1901-08-31
Lyon : Quai de l'ArchevÃªchÃ©,1896-11-08
The Sealed Room,1909-09-02
Good Glue Sticks,1907-01-01
Querelle de matelassiÃ¨res,1898-12-11
Retour dâune promenade en mer,1896-01-16
EntrÃ©e d'une noce Ã  l'Ã©glise,1897-01-01
"The Woodcutter, a Music Lover",1898-06-22
The Bachelor's Paradise,1901-01-01
The Night Before Christmas,1905-12-16
Whimsical Illusions,1909-12-01
Glenroy Brothers (Comic Boxing),1894-10-05
Attack on a China Mission,1900-11-01
Summoning the Spirits,1899-05-20
Transport of a Turret by a Team of 60 Horses,1897-12-01
Place du Pont,1897-05-20
How He Missed His Train,1900-01-01
The Hallucinated Alchemist,1897-05-31
Fencing,1892-01-01
His Trust,1911-01-16
Colleurs d'affiches,1897-09-01
Seminary Girls,1897-03-31
The Glue,1907-11-01
Partie de cartes,1897-01-01
Excursion to the Moon,1908-01-31
The Palace of the Arabian Nights,1905-05-29
The Miller and the Sweep,1897-06-30
The Human Fly,1902-01-01
The Doctor's Secret,1910-01-01
"Luis Martinetti, Contortionist",1894-01-01
The Little Match Seller,1902-12-24
At the Hypnotist's,1898-01-01
The Kiss,1900-03-09
Berlin: Panoptikum,1896-09-05
The Inn Where No Man Rests,1903-01-01
Panorama pendant l'ascension de la Tour Eiffel,1898-11-27
King John,1899-09-20
Athlete with Wand,1894-02-01
The Mysterious Retort,1906-01-01
The Magician's Cavern,1901-01-01
Hat of Many Surprises,1901-01-01
The Painted Lady,1912-10-24
Carmaux: Drawing Out the Coke,1896-01-25
Band Drill,1894-11-28
Leonard-Cushing Fight,1894-06-14
Max Takes a Bath,1910-10-22
From the Manger to the Cross,1912-10-03
Madame's Cravings,1907-01-01
Pierrette's Escapades,1900-01-01
The Burglars,1897-01-01
The Corbett-Fitzsimmons Fight,1897-01-01
"Come Along, Do!",1898-01-01
New York: Broadway at Union Square,1896-09-26
An Interesting Story,1904-10-01
A Trip to Mars,1910-02-18
The Policemen's Little Run,1907-01-15
Feeding the Doves,1896-10-23
Pistol Duel,1896-12-12
BalanÃ§oires,1896-05-31
The Haunted Curiosity Shop,1901-01-01
Admiral Cigarette,1897-08-18
Faust in the Underworld,1903-12-12
Sightseeing Through Whisky,1907-11-01
Enfants jouant aux billes,1896-10-04
Ben Hur,1907-12-07
"Nice, panorama du casino pris d'un bateau",1897-10-28
A Cure for Pokeritis,1912-12-31
"Glenroy Bros., No. 2",1894-01-01
The Adventures of Dollie,1908-07-14
What Is Seen Through a Keyhole,1901-08-01
Moscow Clad in Snow,1909-04-09
"Algie, the Miner",1912-02-28
Execution of Czolgosz with Panorama of Auburn Prison,1901-11-16
Off to Bedlam,1901-11-11
Coney Island at Night,1905-06-29
Faust and Mephistopheles,1903-01-01
Faust : apparition de MÃ©phistophÃ©lÃ¨s,1897-09-01
The Massacre,1912-12-19
A Trap for Santa Claus,1909-12-20
Chinese Laundry Scene,1894-04-30
Robinson Crusoe,1902-01-01
The Airship Destroyer,1909-10-01
Bicyclist,1896-07-04
Long Distance Wireless Photography,1908-03-31
Panorama of Eiffel Tower,1900-01-01
Dante's Inferno,1911-01-01
Indochina: Children Gathering Coins Scattered by Western Women,1899-04-30
The Runaway Horse,1908-01-03
"Stockholm, entrÃ©e de l'exposition",1897-05-16
