id,popularity,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,popularity_encoded,release_month,release_day_of_week,star_power
11,12.037933,121,4428,7.9,1977,39575591.3582738,2789712242.27745,764398007.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,6,31605852645.411636
12,3.440519,100,3692,7.4,2003,111423148.609557,1024886689.76997,770625978.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6745774511.446402
14,3.55571999999999,122,1756,7.7,1999,19635792.6989148,466411079.770931,341296601.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,3952903512.877718
22,6.864067,143,4223,7.3,2003,165949370.269553,776419286.73064,515011224.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,2,21733123673.116577
24,6.174132,111,2932,7.6,2003,35560579.3434758,214488375.720753,150949000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,1876053575.2514215
28,2.31952,153,1100,7.8,1979,94643451.0788001,250794662.469905,51971511.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,8,2,5662794355.880428
35,1.380432,87,1258,6.9,2007,78875143.6973659,554301751.480407,452068851.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,2,4378946966.878605
38,3.863377,108,2012,7.8,2004,23088907.9962429,83418061.1597466,52258126.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,3,4,15744595480.317924
58,4.205992,151,3181,6.8,2006,216333831.658314,1152691351.87119,865659812.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,1,21913084277.5378
65,1.558805,110,944,6.7,2002,49702717.1384424,260636199.628417,174000000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,4,2510329182.2099566
70,1.648554,132,1355,7.6,2004,34633361.9943644,250241793.971209,186763646.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,5719968240.037683
73,1.333006,119,1563,8.0,1998,26753909.3815659,31937649.2115689,3875127.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,1091747980.6082814
75,2.036325,106,806,5.9,1996,97315171.7272178,140927684.678824,31371017.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,12,3,3878557256.8603506
77,3.095625,113,2144,7.9,2000,11396629.0290882,50301043.2220954,30723096.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,10,2,3359806525.656605
78,4.215642,117,2110,7.7,1982,63269987.2714343,74045476.2072083,4768670.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,6,4,11581501047.403784
80,0.939705,80,418,7.5,2004,3117002.5794928,18462600.8177167,13292615.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,195646671.1876216
85,4.5783,115,2506,7.5,1981,43167434.4874226,935116878.227065,371925971.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,17083126843.59677
87,2.556799,118,1735,6.9,1984,58773177.0974362,698980999.051652,305000000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,14080591075.127005
88,1.945847,100,654,6.9,1987,11514482.6283879,410595461.873724,207954274.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,8,4,2657150578.675318
89,3.536655,127,2031,7.4,1989,84431277.0740763,834061065.27294,426171806.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,20751985021.671246
100,0.699006999999999,105,1167,7.3,1998,1805888.8832557,5213760.39172004,2547569.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3238507171.2995944
105,6.095293,116,3785,7.8,1985,38516154.993062,772572771.713735,362109762.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,7,2,8519969591.602706
115,2.556082,117,1696,7.6,1998,20065432.0361744,37106552.6611244,12739163.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,6928504175.916559
120,8.575419,178,6079,7.8,2001,114528394.852527,1073079785.52895,778368364.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,1,25820325921.60823
121,8.095275,179,5114,7.8,2002,95768650.0960232,1122902454.41715,847287400.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,2,25820325921.60823
122,7.122455,201,5636,7.9,2003,111423148.609557,1326278010.47567,1024888979.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12,0,25820325921.60823
142,1.475604,134,780,7.2,2005,15631886.0551629,198797127.484618,164043761.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,9,4,9629232795.409431
155,8.46666799999999,152,8432,8.1,2008,187365527.254695,1014733032.48168,816921825.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,7,2,15238647958.030115
161,2.642249,116,2645,7.0,2001,104676489.918976,555052814.215116,365717150.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,12,4,15473070626.9013
163,2.175284,125,1376,6.4,2004,126988993.979336,418768465.354169,252744280.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,12,3,12239564507.89912
165,2.566875,108,2436,7.2,1989,70359397.5617302,583982999.762361,292000000.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,11,0,6863681526.346533
