iter	MultiClass
0	1.397315303
1	1.263451306
2	1.171608619
3	1.105807931
4	1.060814259
5	1.018027119
6	0.9851837649
7	0.9576725247
8	0.9297674603
9	0.9080144157
10	0.8930897229
11	0.8761001915
12	0.8586198762
13	0.8469656545
14	0.8338463237
15	0.8255784887
16	0.8114628414
17	0.798461022
18	0.7906123424
19	0.7785211898
20	0.7733981208
21	0.7665095226
22	0.759827457
23	0.7523145424
24	0.7425432597
25	0.7341533299
26	0.7297745723
27	0.724557674
28	0.7161693621
29	0.7101919114
30	0.7048509876
31	0.6990293381
32	0.6944710457
33	0.6915907188
34	0.6874420586
35	0.6806633636
36	0.6743216566
37	0.6703838132
38	0.6664308172
39	0.6618882033
40	0.6562676553
41	0.6522578247
42	0.6486213512
43	0.6437173964
44	0.639298784
45	0.6361754324
46	0.6302975133
47	0.6256117444
48	0.6221941966
49	0.6179749002
50	0.6146825306
51	0.6116677523
52	0.6059880818
53	0.6038225545
54	0.6001453397
55	0.5967559911
56	0.5938297517
57	0.5899045031
58	0.5876954433
59	0.585744796
60	0.583287659
61	0.577335102
62	0.5750280957
63	0.5728264721
64	0.5688418874
65	0.5648833208
66	0.5621186347
67	0.5591936601
68	0.5556010596
69	0.55069255
70	0.5497448882
71	0.5467327444
72	0.5456362823
73	0.5443413747
74	0.5400230973
75	0.5367370313
76	0.5348638936
77	0.5320395487
78	0.5308474972
79	0.529111932
80	0.5275108332
81	0.5260917049
82	0.5233343272
83	0.5179460849
84	0.5137208311
85	0.5120623565
86	0.5087878054
87	0.5066537632
88	0.5035149346
89	0.5009323396
90	0.4970421084
91	0.4946689596
92	0.493492487
93	0.4912074835
94	0.4857093951
95	0.482428939
96	0.4804852777
97	0.4792026313
98	0.4774322647
99	0.4737063884
100	0.4714975778
101	0.4694008985
102	0.4666049816
103	0.4653446573
104	0.4636922639
105	0.4616363309
106	0.4596323724
107	0.4580302985
108	0.4536424811
109	0.4519684978
110	0.4515905264
111	0.44836187
112	0.4460462206
113	0.4435392587
114	0.4407082177
115	0.4388482809
116	0.4377379237
117	0.4356894074
118	0.4344770488
119	0.4329111398
120	0.430175362
121	0.4285237571
122	0.4262421767
123	0.4235154575
124	0.4199696699
125	0.418758995
126	0.4170226496
127	0.4147411343
128	0.4127507364
129	0.4115832527
130	0.4106228445
131	0.4094630469
132	0.4070879301
133	0.4054962505
134	0.4029049925
135	0.401342122
136	0.3994857027
137	0.3968545523
138	0.3953332452
139	0.3931072707
140	0.3906135391
141	0.3895309285
142	0.3875932809
143	0.3848737119
144	0.3839860939
145	0.3823672969
146	0.3811159108
147	0.3796607144
148	0.3772757014
149	0.3753654264
150	0.3738179651
151	0.3722027382
152	0.3713006347
153	0.3697386676
154	0.3688328254
155	0.367242435
156	0.3656043257
157	0.3636362972
158	0.3627901234
159	0.3619729562
160	0.3606282179
161	0.358661193
162	0.3572226356
163	0.3565727675
164	0.3548528182
165	0.3541311316
166	0.3516121905
167	0.3498994906
168	0.3491312452
169	0.3477030767
170	0.3459917001
171	0.3445148825
172	0.3431131461
173	0.3422090457
174	0.3403784279
175	0.3391459307
176	0.3381410394
177	0.3370510084
178	0.3364059009
179	0.3353246355
180	0.3340842353
181	0.3328927289
182	0.3319603943
183	0.3304189043
184	0.3290561744
185	0.3273561412
186	0.3258597956
187	0.3238917731
188	0.3229339768
189	0.322012805
190	0.3211480001
191	0.3197716374
192	0.3193024244
193	0.3184454251
194	0.3169122016
195	0.3154673576
196	0.313254493
197	0.3121061996
198	0.311133872
199	0.3096498428
200	0.3086046059
201	0.3070459688
202	0.3050884027
203	0.3037534574
204	0.3018109598
205	0.30045363
206	0.2995281402
207	0.2987122144
208	0.297646147
209	0.2967607152
210	0.2951717328
211	0.2942514836
212	0.2927290893
213	0.2914801079
214	0.2902067492
215	0.2895388109
216	0.2886913047
217	0.2865611598
218	0.2855346751
219	0.2849980183
220	0.2840908719
221	0.2827264889
222	0.282071144
223	0.2808191675
224	0.2798115957
225	0.2784820518
226	0.2774364252
227	0.2760046776
228	0.2751270645
229	0.2735282262
230	0.2723060794
231	0.2715832371
232	0.2695812805
233	0.2685871579
234	0.2677307604
235	0.2659518641
236	0.2645826916
237	0.263450374
238	0.2620907761
239	0.2605441478
240	0.2595098869
241	0.2586028374
242	0.2566392597
243	0.2554460364
244	0.2549143594
245	0.2545320181
246	0.2535922149
247	0.2524075431
248	0.251376853
249	0.25060026
250	0.2495337214
251	0.2487216063
252	0.2477496988
253	0.246984756
254	0.2460199664
255	0.2454277001
256	0.2442586848
257	0.2439046658
258	0.2430339632
259	0.2421750593
260	0.2412820809
261	0.2402859787
262	0.2393919675
263	0.2373630704
264	0.2366698745
265	0.2357517112
266	0.2351671224
267	0.2344431185
268	0.2334373203
269	0.2324966836
270	0.2321092649
271	0.2312183845
272	0.2303880781
273	0.2289748874
274	0.2275946138
275	0.2268245155
276	0.225015543
277	0.2245918569
278	0.2237873877
279	0.2230853561
280	0.2225757117
281	0.2219273896
282	0.22128106
283	0.2208441591
284	0.2195549036
285	0.2187490734
286	0.2179151338
287	0.2171847315
288	0.2163673934
289	0.2155694687
290	0.2150283039
291	0.2136379238
292	0.2129710705
293	0.2120638942
294	0.2109423976
295	0.2099760135
296	0.209431779
297	0.2089609189
298	0.2081377916
299	0.2074360997
