iter	Passed	Remaining
0	42	4219
1	83	4078
2	110	3579
3	165	3968
4	213	4055
5	235	3688
6	261	3479
7	282	3253
8	308	3122
9	327	2947
10	363	2939
11	384	2821
12	440	2948
13	474	2913
14	502	2849
15	574	3015
16	593	2899
17	628	2861
18	653	2785
19	685	2741
20	713	2684
21	729	2586
22	747	2502
23	768	2432
24	788	2366
25	834	2374
26	859	2324
27	878	2258
28	911	2231
29	934	2179
30	958	2132
31	975	2072
32	1001	2033
33	1023	1986
34	1044	1939
35	1086	1931
36	1125	1915
37	1168	1905
38	1222	1911
39	1241	1862
40	1269	1827
41	1289	1781
42	1308	1734
43	1362	1734
44	1409	1722
45	1433	1682
46	1464	1651
47	1480	1603
48	1523	1585
49	1558	1558
50	1576	1514
51	1593	1471
52	1624	1440
53	1656	1410
54	1684	1378
55	1721	1352
56	1747	1318
57	1787	1294
58	1812	1259
59	1867	1245
60	1908	1219
61	1959	1200
62	1998	1173
63	2053	1155
64	2070	1114
65	2108	1086
66	2126	1047
67	2170	1021
68	2207	991
69	2250	964
70	2287	934
71	2325	904
72	2364	874
73	2412	847
74	2457	819
75	2493	787
76	2520	752
77	2546	718
78	2569	683
79	2597	649
80	2618	614
81	2657	583
82	2700	553
83	2725	519
84	2748	485
85	2766	450
86	2785	416
87	2800	381
88	2816	348
89	2833	314
90	2850	281
91	2871	249
92	2886	217
93	2901	185
94	2916	153
95	2934	122
96	2949	91
97	2965	60
98	2978	30
99	2991	0
