id,Running time,Actors Box Office %,Director Box Office %,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score,genre_encoded,AdjBudget,AdjEarnings,AdjBoxOffice,Director_mean_target
0,144,50.0,69.23,0,0.0,2016,7.4,0,50000000.0,19400000.0,69400000.0,6.590803728898966
1,102,33.33,50.0,0,0.0,2006,6.6,0,61906567.46031746,15476641.865079366,77383209.32539684,6.719674536481259
2,102,44.44,25.0,0,0.0,2009,6.4,4,22374415.601970755,133127772.83172598,155502188.43369675,6.4482741244646
3,90,50.0,100.0,0,0.0,2013,7.1,7,1030263.0957644546,1030263.0957644546,2060526.1915289091,6.5724111866969
4,107,75.0,42.85,0,0.0,2003,5.9,0,99133326.08695653,208701739.1304348,307835065.2173913,6.344538926681783
5,109,66.67,100.0,0,0.0,2013,6.7,0,62846048.841631725,73148679.79927628,135994728.640908,6.579308390022675
6,158,63.88,50.0,0,0.0,2009,5.8,0,223744156.01970753,671232468.0591227,894976624.0788301,6.294959009244723
7,123,61.0,66.67,0,0.0,2008,6.8,5,39015921.74749075,51278068.58241641,90293990.32990715,6.212224283652855
8,112,55.55,100.0,0,0.0,2014,7.1,0,50690853.94701271,284882599.1822114,335573453.1292241,6.826051902242378
9,111,77.0,60.0,0,0.0,2008,6.1,4,33442218.640706353,144916280.7763942,178358499.41710055,6.253446712018141
10,88,50.0,100.0,0,0.0,2010,5.2,7,330200.04035660566,770466.7608320799,1100666.8011886855,6.255744520030234
11,113,77.0,100.0,0,0.0,2007,6.6,8,37041332.6774122,49774290.78527264,86815623.46268484,6.366808390022675
12,117,36.66,57.14,0,0.0,2006,7.7,0,77383209.32539684,465489766.8650794,542872976.1904763,6.86120559334845
13,102,50.0,100.0,0,0.0,2014,6.2,0,111519878.68342794,230136476.91943768,341656355.60286564,6.422411186696901
14,125,66.67,0.0,0,0.0,2001,5.9,0,56918656.12648222,47432213.43873518,104350869.5652174,6.3724111866969
15,128,55.55,0.0,0,0.0,2013,6.3,0,180296041.75877953,-23696051.202582452,156599990.55619708,6.439077853363567
16,99,96.29,71.42,0,0.0,2004,6.8,4,95291291.68872419,155007167.81365803,250298459.50238222,6.302872260015117
17,95,0.0,0.0,0,0.0,1997,5.3,4,4486112.14953271,-1495370.7165109033,2990741.4330218066,6.2724111866969
18,123,83.33,66.67,0,0.0,1999,6.5,12,57624729.89195679,80674621.8487395,138299351.74069628,6.378498065893023
19,79,16.67,0.0,0,0.0,2009,7.1,0,33561623.40295613,7831045.460689764,41392668.8636459,6.5724111866969
20,96,42.22,61.5,0,0.0,2009,6.8,2,223744156.01970753,139840097.5123172,363584253.53202474,7.0741370622323
21,115,57.14,0.0,0,0.0,1998,6.5,7,88346134.96932516,79511521.47239263,167857656.44171777,6.433495302883058
22,101,75.0,50.0,0,0.0,2013,5.3,0,94784204.81032981,219446039.39782882,314230244.2081586,6.170496346686822
23,122,33.33,66.67,0,0.0,1943,7.0,7,36444993.58381503,32921191.387283236,69366184.97109826,6.954308390022675
24,144,53.33,40.0,0,0.0,2001,6.9,0,88088396.38622248,70470717.10897799,158559113.49520046,6.593446712018141
25,128,75.0,50.0,0,0.0,1992,7.2,4,68426799.71489665,157381639.34426227,225808439.05915892,6.592718568909045
26,100,75.0,100.0,0,0.0,2013,4.7,4,25756577.39411136,28847366.681404725,54603944.07551609,5.539497010925582
27,109,33.33,62.5,0,0.0,2003,6.1,0,46957891.30434783,14348244.565217393,61306135.869565226,6.756497470783184
28,136,64.44,100.0,0,0.0,2014,6.1,13,40552683.15761016,47649402.71019194,88202085.8678021,6.479308390022675
29,90,38.33,33.33,0,0.0,2011,6.8,2,26674676.24555991,1066987.0498223964,27741663.295382306,6.5043083900226755
30,122,93.33,66.67,0,0.0,2014,6.8,5,15207256.184103811,21290158.657745335,36497414.84184915,6.641808390022675
31,101,66.67,0.0,0,0.0,2009,7.2,7,6712324.680591227,-3356162.3402956133,3356162.3402956133,6.647781017168772
32,102,44.0,50.0,0,0.0,2005,4.2,0,63903553.507424474,7373486.943164362,71277040.45058884,5.930406101834672
33,91,0.0,33.33,0,0.0,2012,5.9,4,41814158.90659164,-18816371.507966235,22997787.3986254,5.9576788291074
34,131,100.0,100.0,0,0.0,1985,6.3,0,66916449.814126395,272126895.91078067,339043345.7249071,6.53344671201814
35,107,35.71,0.0,0,0.0,1999,6.6,7,20168655.462184876,-12965564.225690277,7203091.236494599,6.433495302883058
